qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
163,t1,t2,t7,t9,0.51,0.32,0.17,100.0
164,t10,t2,t7,t9,0.15,0.46,0.39,100.0
165,t1,t3,t7,t9,0.11,0.55,0.34,100.0
166,t10,t3,t7,t9,0.35,0.54,0.11,100.0
167,t2,t3,t7,t9,0.07,0.53,0.4,100.0
168,t1,t4,t7,t9,0.67,0.15,0.18,100.0
169,t10,t4,t7,t9,0.24,0.37,0.39,100.0
170,t2,t4,t7,t9,0.54,0.13,0.33,100.0
171,t3,t4,t7,t9,0.16,0.32,0.52,100.0
172,t1,t5,t7,t9,0.11,0.55,0.34,100.0
173,t10,t5,t7,t9,0.33,0.56,0.11,100.0
174,t2,t5,t7,t9,0.07,0.53,0.4,100.0
175,t3,t5,t7,t9,0.87,0.05,0.08,100.0
176,t4,t5,t7,t9,0.16,0.52,0.32,100.0
177,t1,t6,t7,t9,0.56,0.25,0.19,100.0
178,t10,t6,t7,t9,0.18,0.42,0.4,100.0
179,t2,t6,t7,t9,0.49,0.19,0.32,100.0
180,t3,t6,t7,t9,0.12,0.37,0.51,100.0
181,t4,t6,t7,t9,0.64,0.21,0.15,100.0
182,t5,t6,t7,t9,0.12,0.37,0.51,100.0
183,t1,t10,t8,t9,0.22,0.65,0.13,100.0
184,t1,t2,t8,t9,0.3,0.44,0.26,100.0
185,t10,t2,t8,t9,0.14,0.29,0.57,100.0
186,t1,t3,t8,t9,0.21,0.67,0.12,100.0
187,t10,t3,t8,t9,0.46,0.5,0.04,100.0
188,t2,t3,t8,t9,0.12,0.62,0.26,100.0
189,t1,t4,t8,t9,0.37,0.3,0.33,100.0
190,t10,t4,t8,t9,0.21,0.12,0.67,100.0
191,t2,t4,t8,t9,0.24,0.22,0.54,100.0
192,t3,t4,t8,t9,0.2,0.11,0.69,100.0
193,t1,t5,t8,t9,0.21,0.67,0.12,100.0
194,t10,t5,t8,t9,0.45,0.5,0.05,100.0
195,t2,t5,t8,t9,0.12,0.62,0.26,100.0
196,t3,t5,t8,t9,0.87,0.05,0.08,100.0
197,t4,t5,t8,t9,0.2,0.69,0.11,100.0
198,t1,t6,t8,t9,0.41,0.29,0.3,100.0
199,t10,t6,t8,t9,0.24,0.16,0.6,100.0
200,t2,t6,t8,t9,0.25,0.21,0.54,100.0
201,t3,t6,t8,t9,0.24,0.14,0.62,100.0
202,t4,t6,t8,t9,0.36,0.32,0.32,100.0
203,t5,t6,t8,t9,0.24,0.14,0.62,100.0
204,t1,t7,t8,t9,0.27,0.58,0.15,100.0
205,t10,t7,t8,t9,0.43,0.2,0.37,100.0
206,t2,t7,t8,t9,0.19,0.52,0.29,100.0
207,t3,t7,t8,t9,0.37,0.11,0.52,100.0
208,t4,t7,t8,t9,0.27,0.61,0.12,100.0
209,t5,t7,t8,t9,0.37,0.11,0.52,100.0
210,t6,t7,t8,t9,0.27,0.56,0.17,100.0
